Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Guida Moseley Brown Architects,"6 Pirie St, Fyshwick, Australian Capital Territory 2609, AU","Guida Moseley Brown Architects is an architectural, interior design, and urban design firm carrying out an international practice from Australia’s national capital.The firm has extensive experience in major public buildings; educational and research facilities; large-scale residential developments; a range of commercial and corporate projects; and urban design and master planning.We aspire to create environments that make possible a better life for users, visitors, and for the wider public, and in every case seek to attain design excellence and work in the spirit of art.Central to our design approach is the understanding and appreciation of place. We aim to respond to a variety of environmental, cultural, social, and historical factors in order to discover an independent and unique expression in each project. It is our belief that a comprehensive and sensitive engagement with the sense of place leads to successful, aesthetically durable and intelligent design solutions.",+61 2 6280 7080,Architecture and Planning,11-50 employees,http://www.gmbarchitects.com/,"Fyshwick, Australian Capital Territory",Privately Held,2004,https://www.linkedin.com/company/guida-moseley-brown-architects/,"6 Pirie St, Fyshwick ACT 2609, Australia",-35.326505,149.1700707,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Low Impact Development (LID) Consulting,"Suite 7, level 1, 252 St Georges Rd, North Fitzroy, Vic 3068, AU","Low Impact Development (LID) Consulting are sustainable building, infrastructure, communities and waste consultants. We are passionate about delivering innovative, feasible and cost effective improvements in the sustainability of the urban built environment.Much of our work is in the: multi-unit residential, mixed use, commercial, smaller residential, institutional and community sectors. We research and provide smart sustainable solutions for the built environment: solutions that are best fit for your project, fit your budget, meet mandatory council or legislative requirements, or help lead the way on sustainability.We have also implemented:* The industry tool - the free on-line R value calculator that simplifies determination of the insulation value of different materials and building fabric systems. See www.rvalue.com.au * The sustainable communities project presenting and engaging the community on low hanging fruit active transport options for Blairgowrie. See the Walk Bike Blairgowrie project www.walkbikeblairgowrie.org  Our sustainable building consulting services includes:* Modelling of preliminary designs to provide early passive design feedback, the optimal orientation of solar PV panels etc.* ESD reports for town planning applications (also called ESD/Sustainability Management Plans and Sustainability Design Assessments) * Daylight assessments* Waste Management Plans and audits *Compliance energy efficiency assessments - Part J non-residential DTS and Alternative Solution JV3 computer modelled solutions and residential energy ratings* Green Star and EnviroDevelopment projectsMore details can be found on our website www.lidconsulting.com.au. For waste consulting details and waste design tips refer to our website www.wastemanagementplans.com.au",(03) 9016 9486,Architecture and Planning,11-50 employees,http://www.lidconsulting.com.au,"North Fitzroy, Vic",Privately Held,2009,https://www.linkedin.com/company/low-impact-development-lid-consulting/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Baenziger Coles Pty Ltd,"419 City Road, South Melbourne, Victoria 3205, AU","Baenziger Coles provide integrated Architecture & Interior Design solutions in response to client’s identity, needs, and aspirations. Our success is built on a reputation for design excellence, professional integrity and a high level of personalised service. 

The firm is committed to a rational yet innovative design approach. Our methodology is specific to site, context and also informed by an understanding of the client’s ethos, human space, modern culture and contemporary values. Every project is unique. Our hands on team of architects, designers, and technical staff craft thoughtful, innovative, contemporary responses to your brief - lasting longer than just impressions.

The complimentary attributes of extensive industry experience, pragmatism and contextually responsive design have contributed towards providing solutions for a broad spectrum of built environments.",null,Architecture and Planning,2-10 employees,http://www.baenzigercoles.com.au,"South Melbourne, Victoria",Privately Held,1990,https://www.linkedin.com/company/baenziger-coles-pty-ltd/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Kosloff Architecture,"Level 2 696 Bourke Street, Melbourne, Victoria 3000, AU","Kosloff Architecture is led by Directors Julian Kosloff and Stephanie Bullock, along with Associate Emily Chalk.  We believe that every project should have high aspirations in terms of what it can deliver to its stakeholders, its cultural context and the broader community. Fundamentally we are interested in creating authentic collaborations that deliver beneﬁts beyond the purely commercial. Our experience ranges across architectural typologies, project management, strategy and consulting - we believe in a multidisciplinary approach as a starting point. Because of our extensive background in commercial, masterplanning, infrastructure, retail and residential architecture at various scales, we have the ability to undertake projects in a broad range of sectors.  Kosloff Architecture was established in line with the principles of a BCorp. We are fully committed to the principles of sustainable and ethical business as outlined in the BCorp charter.",null,Architecture and Planning,11-50 employees,http://www.kosloffarchitecture.com,"Melbourne, Victoria",Privately Held,2017,https://www.linkedin.com/company/kosloff-architecture/,"Level 2 696 Bourke Street, Melbourne, Victoria, 3000, AU",-37.803425,145.01105,Melbourne,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
CONTEXT Landscape Architecture,AU,"Context is a highly professional team of landscape architects and urban designers offering services in landscape architecture, urban design, site planning, and environmental design. 

The practice is based in Sydney and has over 20 years experience in private and public sector design. Context prides itself in maintaining an integrated approach to landscape design that achieves high standards of creative excellence and innovation. The work of the practice has been recognised by many local and international awards. 

Changing the face of the public and private domain on a diverse range of local and international projects, the design excellence for which Context has been recognised emanates from its current standing at the forefront of contemporary landscape architecture.",282448900,Architecture and Planning,11-50 employees,http://www.context.net.au,null,Privately Held,1990,https://www.linkedin.com/company/context-landscape/,"Level 2/52-58 William St, Woolloomooloo NSW 2122, Australia",-33.8737752,151.2149079,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CO-AP (Architects),"Studio 3 / 283 Liverpool Street, Darlinghurst, Sydney, NSW 2010, AU","CO-AP is an award-winning architectural practice which takes a collaborative approach to realising fresh outcomes for each project, with an emphasis on research and development and an inherent regard for sustainability. The practice thrives on chellenging projects. Tackling difficult sites, complex briefs and strict planning controls enables us to seek alternative approaches to achieve better outcomes, and in doing so question the status quo. Our design process often results in layers of complexity and contradiction but always strives to distill an architecture that is simple, and executed with precision and clarity.INDUSTRY RECOGNITION2016 AIA National Architecture Award | Single Residential (Alterations & Additions) | Winner2016 AIA NSW Chapter Architecture Awards | Hugh and Eva Buhrich Award | Darlinghurst Rooftop | Winner2015 Houses Awards | Outdoor | Darlinghurst Rooftop | Commendation2015 IDEA Awards | Residential Single | Balmoral House | High Commendation2015 AIA National Architecture Awards | Educational Architecture | Camperdown Childcare | Commendation2015 AIA NSW Chapter Architecture Awards | Educational Architecture | Camperdown Childcare | Winner2014 IDEA Awards | Workplace Over 1000sq.m | Camperdown Childcare | High Commendation2014 AIA NSW Chapter Architecture Awards | Interior Architecture Award | Point Piper Apartment | Winner2013 Australian Interior Design Awards | Hospitality Design | Merewether Surfhouse | High Commendation2013 Dulux Colour Awards | Single Residential Exterior | Annandale House | Winner2012 Intergrain Timber Vision Design Awards | Commercial Interior | Merewether Surfhouse | Commendation2012 Houses Awards | Alteration and Addition over 200sqm | Annandale House | Winner2012 AIA NSW Chapter Architecture Awards | Single Residential Category | Annandale House | Shortlisted",null,Architecture and Planning,2-10 employees,http://www.co-ap.com,"Sydney, NSW",Partnership,2005,https://www.linkedin.com/company/co-ap-architects-/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"proUrban Advisory, Planning & Management","5 Claremont St, South Yarra, Victoria 3141, AU","proUrban is a specialist urban planning consultancy that provides advisory and management services to property developers and land owners.
 
Drawing from broad-based experience gained across both the private and public sectors, our approach:

- is founded on a deep understanding of urban planning principles and knowledge of local and state government processes;

 - leverages our working relationships and networks within the development industry, local Councils and other regulatory agencies; and
 
- is always pragmatic and commercially focused.
 
We strive to form a deep understanding of our clients'​ objectives and the way they go about their business. This knowledge enables us to create, implement and manage planning strategies that are directly linked to the achievement of these goals.

We provide urban planning advisory and management services across the development industry. Our clients are developers, landowners, builders and investors. Our services include:

- Development site identification, feasibility analysis support, and planning due diligence.
 
- Securing planning permits: application strategy, preparation and management.
 
- Facilitating planning scheme amendments: developing strategic justification, document preparation, stakeholder engagement and process management.
Consultation, negotiation and engagement with local communities and other stakeholders.
 
- Appointment and management of consultancy teams to deliver planning projects.
 
- 'Front-end'​ project management services during the first half of the project life-cycle, from project inception to the commencement of construction",null,Architecture and Planning,2-10 employees,http://www.pro-urban.com.au,"South Yarra, Victoria",Privately Held,2014,https://www.linkedin.com/company/prourban-planning-&-project-management/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Kilargo,null,"At Kilargo, we’re all about building integrity, safety and comfort through fire, smoke, sound and energy solutions.
You’ll find Kilargo products in commercial buildings, high-rise complexes, and health and education facilities around Australia and the world. Whether it’s to reduce bushfire risks or gain energy efficiencies, customers choose Kilargo because we have 30 years of industry knowledge, understand building regulations, and are respected experts in the principles of fire, smoke and sound. 

We’re global industry leaders in research, product development and innovation while we’re proudly Australian with almost all of our products manufactured sourced here for worldwide use. Our solutions reflect the latest in building safety, comfort and energy efficiency and are designed to meet or exceed specific building regulations.
From architectural door seals to intumescent fire dampers, our comprehensive range means we offer complete, integrated and cost-effective solutions for your project.

We drive industry standards, delivering products that lead the way in design, manufacturing and quality.
And that commitment extends to our clients. We build solid partnerships through understanding, flexibility, seamless service and genuine enthusiasm. With Kilargo, it’s about providing exceptional solutions for great buildings: making it easy for you to meet regulations, protect people and property, and enhance well-being.",1300858010,Architecture and Planning,51-200 employees,http://www.kilargo.com.au/,"Banyo, Queensland",Public Company,1996,https://www.linkedin.com/company/kilargo/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Point Architects - Melbourne,"545 King St, West Melbourne, Melbourne, VIC 3003, AU","Point Architects is one of Melbourne’s leading, multi-disciplined architectural practices. Since it was established in 2000, the practice has earned a strong reputation for delivering considered and innovative designs.We are committed to the creation of quality architecture and interiors through a process of constant evolution. Every project involves a deep understanding of the client brief, a thoughtful design concept, and a consideration of construction feasibility and budget. This process allows us to manage each project from the point of view of our client, which leads to successful projects and longstanding client relationships.Led by the studio’s directors, Edgar Grech and Carmine Santomartino our West Melbourne studio comprises around 25 highly experienced architects, designers, and documenters. Our success is built on our diverse field of expertise, our strong theoretical and practical background, and our hands-on project management.Whether we are working on small or large scale projects, we pride ourselves on recognising the architectural opportunity locked within each site. We aim to develop design outcomes that maximise each site’s potential and exceed all expectations.",null,Architecture and Planning,11-50 employees,http://www.pointarchitects.com.au/,"Melbourne, VIC",Public Company,2000,https://www.linkedin.com/company/point-architects-melbourne/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
TheFulcrum.Agency,"Fremantle, Western Australia 6160, AU","The Fulcrum Agency is a creative consultancy that leverages community and social outcomes through evidence-based design thinking. We work between design, advocacy, research and action to address inequality, create impact and find opportunity across Australia. Founded by Emma Williamson and Kieran Wong, The Fulcrum Agency is born from decades in practice delivering public and social housing, education and community infrastructure, urban design and planning guidance.We are a practice of architects with a dynamic approach to how we deliver work. Our team has extensive experience in community engagement, participatory planning and communications design.  We work nationally, in major urban centres and our most remote communities. As designers, we use our skills in problem solving, listening and challenging our clients to develop solutions that empower the communities with whom we work. We are always on the lookout for collaborative opportunities in any community. Our team travels regularly to present on a range of topics from cross-cultural design thinking to community consultation and the business of architecture – visit here to find out where we are speaking next.",null,Architecture and Planning,2-10 employees,https://www.thefulcrum.agency/,"Fremantle, Western Australia",Privately Held,null,https://www.linkedin.com/company/thefulcrum-agency/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
